,Region,Country Name,HIV Treatment Rate 2018-2021,GNI per capita 2020 (USD),GDP growth 2020 (annual %),Adult literacy rate: Female: % ages 15 and older: 2013-22,GDP per capita grow(2020)
137,Sub-Saharan Africa,Malawi,86,570,0.799998331,65.12297058,-1.85159978
138,East Asia & Pacific,Malaysia,53.5,10320,-5.534435297,,-6.661116651
139,Sub-Saharan Africa,Namibia,83.75,4650,-8.10140078,92.25,-9.66882124
140,East Asia & Pacific,New Caledonia,,,-2.4,,-2.837025618
141,Sub-Saharan Africa,Niger,71,550,3.550227506,38.09999847,-0.238156789
142,Sub-Saharan Africa,Nigeria,70.25,2060,-1.794253082,62.01601028,-4.16205929
143,Latin America & Caribbean,Nicaragua,52,1760,-1.766258452,82.61454773,-3.103558017
144,Europe & Central Asia,Netherlands,86,50170,-3.886083918,,-4.418555509
145,Europe & Central Asia,Norway,91,78610,-1.278171785,,-1.857696109
146,South Asia,Nepal,65.5,1180,-2.369620627,71.15000153,-4.086568589
147,,Nauru,,16500,4.237288136,,2.688329652
148,East Asia & Pacific,New Zealand,80,41590,-0.653921432,,-2.820322501
149,Middle East & North Africa,Oman,62.5,17110,-3.3797144,95.40129852,-2.11716851
150,South Asia,Pakistan,12.25,1420,-1.274087443,57.34272385,-2.97029465
151,Latin America & Caribbean,Panama,,13040,-17.66833271,95.57394409,-18.85438221
152,Latin America & Caribbean,Peru,75.25,6000,-10.86964078,94.18329493,-12.15393825
153,East Asia & Pacific,Philippines,40,3350,-9.51829474,96.95290629,-10.97819414
154,East Asia & Pacific,Palau,,14640,-9.107206884,98.04843521,-9.390425024
155,East Asia & Pacific,Papua New Guinea,61.75,2470,-3.167381176,,-5.224817586
156,Europe & Central Asia,Poland,,15300,-2.020116215,99.80000305,-1.848440388
157,Latin America & Caribbean,Puerto Rico,,21200,-4.202806719,92.39500046,-6.767756465
158,East Asia & Pacific,"Korea, Dem. People's Rep.",,,,99.99819183,
159,Europe & Central Asia,Portugal,,21850,-8.300516042,96.77999878,-8.396854511
160,Latin America & Caribbean,Paraguay,62,5540,-0.819785391,94.58254351,-2.148477897
161,Middle East & North Africa,West Bank and Gaza,,3700,-11.31846611,96.71093423,-13.49638697
162,East Asia & Pacific,French Polynesia,,,-6.999991348,,-7.678578454
163,Middle East & North Africa,Qatar,50.5,58420,-3.640449805,97.61227035,-2.005009486
